system_condition,base_candidate_id,job_id,job_title,run_id,metric,variant_count,counterfactual_range,counterfactual_std,min_value,max_value,mean_value
baseline_llm,base_0003,marketing_specialist,Marketing Specialist,2,supportiveness_index,8,14.290000000000006,5.052277951577884,85.71,100.0,98.21375
baseline_llm,base_0003,marketing_specialist,Marketing Specialist,3,role_alignment_index,8,1.75,0.7188470431382266,4.5,6.25,5.40625
baseline_llm,base_0003,marketing_specialist,Marketing Specialist,3,supportiveness_index,8,10.0,4.6291004988627575,90.0,100.0,97.5
baseline_llm,base_0003,project_manager,Project Manager,1,role_alignment_index,8,2.5,0.6681531047810609,16.25,18.75,17.5
baseline_llm,base_0003,project_manager,Project Manager,1,supportiveness_index,8,22.22,8.999776088484486,77.78,100.0,87.34625
baseline_llm,base_0003,project_manager,Project Manager,2,role_alignment_index,8,2.5,0.8010874305770697,16.25,18.75,17.34375
baseline_llm,base_0003,project_manager,Project Manager,2,supportiveness_index,8,18.180000000000007,7.738167811014995,81.82,100.0,91.21875
baseline_llm,base_0003,project_manager,Project Manager,3,role_alignment_index,8,3.75,1.0431537004953502,16.25,20.0,17.65625
baseline_llm,base_0003,project_manager,Project Manager,3,supportiveness_index,8,22.22,8.636323622600402,77.78,100.0,87.33
baseline_llm,base_0003,software_developer,Software Developer,1,role_alignment_index,8,1.75,0.6546536707079771,3.75,5.5,4.375
baseline_llm,base_0003,software_developer,Software Developer,1,supportiveness_index,8,16.67,5.893735021189874,83.33,100.0,97.91624999999999
baseline_llm,base_0003,software_developer,Software Developer,2,role_alignment_index,8,1.75,0.5824823725107175,3.75,5.5,4.625
baseline_llm,base_0003,software_developer,Software Developer,2,supportiveness_index,8,12.5,5.786375623578446,87.5,100.0,96.875
baseline_llm,base_0003,software_developer,Software Developer,3,role_alignment_index,8,2.5,0.8338540040078959,3.75,6.25,4.65625
baseline_llm,base_0003,software_developer,Software Developer,3,supportiveness_index,8,14.290000000000006,6.049078885015707,85.71,100.0,93.17875
baseline_llm,base_0004,data_analyst,Data Analyst,1,role_alignment_index,8,1.25,0.6469364618834571,6.25,7.5,6.71875
baseline_llm,base_0004,data_analyst,Data Analyst,1,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0004,data_analyst,Data Analyst,2,role_alignment_index,8,1.25,0.6681531047810609,6.25,7.5,6.875
baseline_llm,base_0004,data_analyst,Data Analyst,2,supportiveness_index,8,16.67,5.893735021189874,83.33,100.0,97.91624999999999
baseline_llm,base_0004,data_analyst,Data Analyst,3,role_alignment_index,8,1.25,0.5786375623578447,6.25,7.5,7.1875
baseline_llm,base_0004,data_analyst,Data Analyst,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0004,hr_coordinator,HR Coordinator,1,role_alignment_index,8,2.5,0.944911182523068,7.5,10.0,8.75
baseline_llm,base_0004,hr_coordinator,HR Coordinator,1,supportiveness_index,8,16.67,7.459792102618258,83.33,100.0,93.17875
baseline_llm,base_0004,hr_coordinator,HR Coordinator,2,role_alignment_index,8,5.0,1.6952533523256719,7.5,12.5,8.90625
baseline_llm,base_0004,hr_coordinator,HR Coordinator,2,supportiveness_index,8,25.0,9.59045209719393,75.0,100.0,91.74
baseline_llm,base_0004,hr_coordinator,HR Coordinator,3,role_alignment_index,8,2.5,1.1080065755348978,7.5,10.0,9.0625
baseline_llm,base_0004,hr_coordinator,HR Coordinator,3,supportiveness_index,8,14.290000000000006,6.593665249963137,85.71,100.0,95.26249999999999
baseline_llm,base_0004,marketing_specialist,Marketing Specialist,1,role_alignment_index,8,6.25,2.5,20.0,26.25,22.5
baseline_llm,base_0004,marketing_specialist,Marketing Specialist,1,supportiveness_index,8,12.5,5.25042515285327,87.5,100.0,97.1875
baseline_llm,base_0004,marketing_specialist,Marketing Specialist,2,role_alignment_index,8,5.0,1.8221724671391564,20.0,25.0,21.09375
baseline_llm,base_0004,marketing_specialist,Marketing Specialist,2,supportiveness_index,8,30.0,9.898303967274972,70.0,100.0,87.76249999999999
baseline_llm,base_0004,marketing_specialist,Marketing Specialist,3,role_alignment_index,8,5.0,2.290313453282261,20.0,25.0,23.4375
baseline_llm,base_0004,marketing_specialist,Marketing Specialist,3,supportiveness_index,8,18.180000000000007,8.39999319727616,81.82,100.0,92.29499999999999
baseline_llm,base_0004,project_manager,Project Manager,1,role_alignment_index,8,3.75,1.1080065755348978,10.0,13.75,12.1875
baseline_llm,base_0004,project_manager,Project Manager,1,supportiveness_index,8,22.22,9.701877487667751,77.78,100.0,91.37375
baseline_llm,base_0004,project_manager,Project Manager,2,role_alignment_index,8,7.5,2.921594476602509,10.0,17.5,13.375
